;STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
0;Station 57-92;20161216;10;13.8;6.3;3;0.0;0;8.45;65;1.0;0.6;714.3;-3.4;11.5;-0.9;-4.6;-999;eor
1;Station 57-92;20161217;10;5.0;2.0;3;0.0;0;7.933;65;5.7;0.7;718.97;-5.2;16.5;-2.5;-7.9;-999;eor
2;Station 57-92;20161218;10;10.5;4.2;3;3.8;7;3.45;65;7.3;2.2;714.58;-8.7;70.92;-5.5;-10.6;-999;eor
3;Station 57-92;20161219;10;30.8;14.4;3;0.0;0;6.867000000000001;75;4.3;1.8;708.39;-10.3;69.46;-4.2;-13.6;-999;eor
4;Station 57-92;20161220;10;19.7;8.1;3;0.0;0;7.2829999999999995;75;2.0;2.8;711.4;-3.0;56.79;-1.5;-5.1;-999;eor
5;Station 57-92;20161221;10;9.7;4.5;3;0.0;0;8.417;75;2.0;2.2;715.53;-2.4;42.96;1.4;-4.5;-999;eor
6;Station 57-92;20161222;10;11.5;6.8;3;0.0;7;8.35;75;5.0;2.5;717.53;-3.6;54.71;-0.9;-7.1;-999;eor
7;Station 57-92;20161223;10;19.0;7.8;3;0.0;0;6.683;73;4.3;3.3;718.13;-4.8;77.38;-1.4;-7.6;-999;eor
8;Station 57-92;20161224;10;28.4;11.4;3;5.1;7;1.0170000000000001;70;7.3;2.5;715.0;-6.5;68.25;-3.4;-10.1;-999;eor
9;Station 57-92;20161225;10;25.9;10.4;3;0.9;7;0.0;70;8.0;3.9;714.88;-5.9;96.13;-2.3;-10.7;-999;eor
10;Station 57-92;20161226;10;23.7;8.3;3;7.2;7;0.583;70;7.3;4.4;717.14;-4.1;97.0;-2.3;-8.5;-999;eor
11;Station 57-92;20161227;10;18.5;9.2;3;1.3;7;6.332999999999999;75;4.3;1.8;716.46;-13.6;80.63;-8.5;-15.7;-999;eor
12;Station 57-92;20161228;10;22.4;7.3;3;0.0;0;6.95;76;6.7;1.5;719.52;-10.3;55.17;-6.8;-13.1;-999;eor
13;Station 57-92;20161229;10;23.9;5.8;3;0.0;0;8.482999999999999;70;0.3;1.1;718.66;-7.0;29.5;-4.1;-8.8;-999;eor
14;Station 57-92;20161230;10;11.2;4.8;3;0.0;0;8.467;70;0.0;1.6;719.05;-5.1;37.92;-3.3;-6.2;-999;eor
15;Station 57-92;20161231;10;9.1;2.9;3;0.0;0;8.482999999999999;70;0.3;1.0;716.5;-4.9;22.71;-3.3;-6.1;-999;eor
16;Station 57-92;20170101;10;16.2;8.8;3;0.0;0;8.517000000000001;70;0.0;1.1;709.09;-6.4;29.13;-4.4;-8.0;-999;eor
17;Station 57-92;20170102;10;23.3;8.4;3;3.3;7;6.4;70;4.7;1.4;703.81;-11.4;58.38;-7.2;-16.8;-999;eor
18;Station 57-92;20170103;10;18.2;5.8;3;0.7;7;8.567;80;2.3;1.1;703.66;-15.9;61.54;-9.4;-19.6;-999;eor
19;Station 57-92;20170104;10;-999.0;-999.0;3;48.3;7;0.0;80;8.0;1.9;698.23;-13.6;87.33;-7.5;-18.0;-999;eor
20;Station 57-92;20170105;10;-999.0;-999.0;3;16.9;7;0.033;180;8.0;0.9;698.38;-21.9;86.92;-17.5;-24.7;-999;eor
21;Station 57-92;20170106;10;15.3;6.1;3;0.0;0;8.6;195;0.3;0.5;704.13;-24.0;56.21;-19.6;-27.2;-999;eor
22;Station 57-92;20170107;10;20.2;10.0;3;19.1;7;0.217;180;7.7;1.1;706.19;-16.8;60.67;-11.5;-19.7;-999;eor
23;Station 57-92;20170108;10;18.1;7.8;3;10.3;7;0.0;185;8.0;1.8;705.68;-14.7;88.83;-11.8;-17.5;-999;eor
24;Station 57-92;20170109;10;17.1;6.9;3;0.0;0;8.317;180;2.3;0.6;704.88;-11.2;24.92;-9.7;-12.9;-999;eor
25;Station 57-92;20170110;10;13.6;5.4;3;3.6;7;8.167;170;6.0;1.2;695.97;-12.8;54.63;-9.2;-14.5;-999;eor
26;Station 57-92;20170111;10;30.6;10.7;3;8.1;7;3.45;167;6.3;1.9;696.75;-13.2;86.21;-9.3;-15.6;-999;eor
